img_path,hotend_class
image-19089.jpg,0
image-10323.jpg,1
image-3170.jpg,0
image-2130.jpg,0
image-6277.jpg,0
image-19945.jpg,0
image-16946.jpg,0
image-21212.jpg,2
image-8811.jpg,1
image-4689.jpg,0
image-21356.jpg,0
image-3162.jpg,1
image-9378.jpg,1
image-1677.jpg,2
image-19192.jpg,0
image-5264.jpg,2
image-13274.jpg,0
image-8983.jpg,1
image-9827.jpg,0
image-24262.jpg,1
image-9978.jpg,0
image-7550.jpg,1
image-23327.jpg,1
image-20671.jpg,2
image-1688.jpg,2
image-12646.jpg,0
image-9668.jpg,1
image-20143.jpg,0
image-1242.jpg,1
image-21690.jpg,1
image-13683.jpg,0
image-16148.jpg,1
image-6572.jpg,0
image-22545.jpg,1
image-14504.jpg,1
image-7210.jpg,0
image-23153.jpg,1
image-26468.jpg,1
image-8619.jpg,0
image-14523.jpg,2
image-5922.jpg,2
image-16396.jpg,2
image-7887.jpg,2
image-12953.jpg,1
image-4462.jpg,0
image-13247.jpg,0
image-18409.jpg,1
image-894.jpg,2
image-24661.jpg,2
image-14450.jpg,1
image-16389.jpg,2
image-7145.jpg,2
image-23389.jpg,2
image-236.jpg,0
image-9918.jpg,0
image-4261.jpg,1
image-12642.jpg,0
image-21214.jpg,2
image-23495.jpg,2
image-23835.jpg,1
image-9483.jpg,2
image-16973.jpg,0
image-5098.jpg,2
image-17467.jpg,0
image-6566.jpg,0
image-8350.jpg,2
image-5747.jpg,0
image-20055.jpg,0
image-21575.jpg,1
image-20848.jpg,2
image-1768.jpg,0
image-143.jpg,0
image-14914.jpg,0
image-5251.jpg,2
image-12286.jpg,0
image-16363.jpg,1
image-9446.jpg,2
image-7391.jpg,0
image-23203.jpg,0
image-15049.jpg,1
image-418.jpg,1
image-5676.jpg,2
image-8297.jpg,2
image-11619.jpg,0
image-7019.jpg,2
image-25867.jpg,0
image-19306.jpg,1
image-20597.jpg,1
image-924.jpg,2
image-17641.jpg,1
image-22712.jpg,0
image-8418.jpg,2
image-25340.jpg,2
image-19973.jpg,0
image-20485.jpg,0
image-23839.jpg,1
image-7711.jpg,1
image-25172.jpg,1
image-15447.jpg,1
image-16536.jpg,2
image-18241.jpg,0
image-184.jpg,0
image-5939.jpg,2
image-5618.jpg,1
image-23499.jpg,2
image-922.jpg,2
image-12172.jpg,2
image-7819.jpg,2
image-20825.jpg,2
image-4061.jpg,1
image-18278.jpg,0
image-16918.jpg,0
image-5313.jpg,2
image-3189.jpg,0
image-11748.jpg,1
image-23774.jpg,1
image-9970.jpg,0
image-18214.jpg,0
image-16586.jpg,0
image-5154.jpg,2
image-14034.jpg,0
image-23493.jpg,2
image-7868.jpg,2
image-19926.jpg,0
image-20086.jpg,0
image-23605.jpg,1
image-8318.jpg,2
image-18267.jpg,0
image-10910.jpg,0
image-9734.jpg,0
image-12616.jpg,0
image-16052.jpg,1
image-24439.jpg,2
image-25363.jpg,2
image-10874.jpg,0
image-16634.jpg,1
image-23001.jpg,2
image-21158.jpg,2
image-26560.jpg,1
image-6047.jpg,0
image-1794.jpg,0
image-22171.jpg,1
image-7821.jpg,2
image-1300.jpg,1
image-22547.jpg,1
image-23395.jpg,2
image-17535.jpg,0
image-25592.jpg,2
image-13026.jpg,1
image-19567.jpg,0
image-1692.jpg,2
image-14022.jpg,0
image-17283.jpg,0
image-15601.jpg,1
image-20811.jpg,2
image-15769.jpg,2
image-17780.jpg,1
image-5415.jpg,0
image-24215.jpg,1
image-22425.jpg,0
image-5114.jpg,1
image-18287.jpg,0
image-5339.jpg,2
image-20856.jpg,2
image-16317.jpg,1
image-7102.jpg,2
image-7266.jpg,0
image-18537.jpg,0
image-8228.jpg,1
image-25395.jpg,2
image-7061.jpg,2
image-2277.jpg,1
image-388.jpg,0
image-3117.jpg,2
image-4121.jpg,0
image-4580.jpg,0
image-16896.jpg,0
image-15347.jpg,1
image-3584.jpg,1
image-8661.jpg,0
image-14491.jpg,1
image-5262.jpg,2
image-24478.jpg,2
image-3991.jpg,1
image-6041.jpg,1
image-18867.jpg,1
image-21939.jpg,0
image-909.jpg,2
image-8336.jpg,2
image-880.jpg,2
image-20594.jpg,1
image-20085.jpg,0
image-8378.jpg,2
image-2801.jpg,1
image-5627.jpg,2
image-5085.jpg,2
image-20168.jpg,0
image-14530.jpg,2
image-4980.jpg,1
image-24654.jpg,2
image-13420.jpg,0
image-15796.jpg,2
image-9414.jpg,1
image-5941.jpg,2
image-26252.jpg,0
image-1655.jpg,2
image-8116.jpg,1
image-21801.jpg,1
image-7908.jpg,2
image-25368.jpg,2
image-5170.jpg,1
image-3686.jpg,0
image-7013.jpg,2
image-7824.jpg,2
image-6923.jpg,1
image-20854.jpg,2
image-14464.jpg,1
image-26609.jpg,2
image-339.jpg,0
image-21330.jpg,0
image-5232.jpg,2
image-9075.jpg,1
image-10547.jpg,1
image-15176.jpg,1
image-12175.jpg,2
image-10398.jpg,0
image-10494.jpg,0
image-119.jpg,0
image-935.jpg,2
image-9092.jpg,1
image-10438.jpg,0
image-9320.jpg,1
image-18418.jpg,1
image-11315.jpg,1
image-14677.jpg,0
image-24164.jpg,1
image-9220.jpg,1
image-6358.jpg,1
image-14862.jpg,0
image-136.jpg,0
image-11951.jpg,2
image-8020.jpg,1
image-10940.jpg,0
image-26229.jpg,0
image-9334.jpg,1
image-23130.jpg,1
image-8455.jpg,1
image-5773.jpg,0
image-18827.jpg,1
image-17426.jpg,0
image-9709.jpg,1
image-25568.jpg,1
image-23209.jpg,0
image-12098.jpg,2
image-1861.jpg,0
image-5532.jpg,0
image-852.jpg,1
image-9283.jpg,1
image-20681.jpg,2
image-14493.jpg,1
image-20694.jpg,2
image-122.jpg,0
image-22414.jpg,0
image-26567.jpg,2
image-8373.jpg,2
image-24638.jpg,2
image-10899.jpg,0
image-7065.jpg,2
image-275.jpg,0
image-1355.jpg,2
image-2145.jpg,0
image-6334.jpg,0
image-17081.jpg,0
image-6270.jpg,0
image-15788.jpg,2
